,Artist,Title
216,Busta Rhymes and Mariah Carey feat. The Flipmode Squad,I Know what you Want
217,Avril Lavigne,I’m with You
218,Uncle Kracker feat. Dobie Gray,Drift Away
219,Lil’ Kim feat. 50 Cent,Magic Stick
220,50 Cent,P.I.M.P.
221,B2K and P. Diddy,"Bump, Bump, Bump"
222,Fabolous feat. Tamia Or Ashanti,Into You
223,Fabolous feat. Mike Shorey and Lil’ Mo,Can’t let you Go
224,Ja Rule feat. Ashanti,Mesmerize
225,Black Eyed Peas,Where is the Love?
226,Santana feat. Michelle Branch,The Game of Love
228,Ashanti,Rock wit U (Awww Baby)
229,Justin Timberlake,Cry me a River
230,Tyrese,How you Gonna Act Like That
231,Justin Timberlake,Rock your Body
232,Wayne Wonder,No Letting Go
233,Pharrell feat. Jay-Z,Frontin’
234,Dixie Chicks,Landslide
236,Jay-Z feat. Beyonce Knowles,’03 Bonnie & Clyde
237,Nivea feat. Brian and Brandon Casey,Don’t Mess with my Man
238,Monica,So Gone
239,"Nelly feat. Kyjuan, Ali and Murphy Lee",Air Force Ones
240,Lumidee,"Never Leave You – Uh Ooh, Uh Oooh!"
241,Snoop Dogg feat. Pharrell and Uncle Charlie Wilson,Beautiful
242,Missy “Misdemeanor” Elliott feat. Ludacris,Gossip Folks
243,Kelly Clarkson,Miss Independent
244,Train,Calling All Angels
245,YoungBloodZ feat. Lil Jon,Damn!
246,Clay Aiken,This is the Night
247,John Mayer,Your Body is a Wonderland
248,Trapt,Headstrong
249,Ginuwine,In those Jeans
250,Ludacris feat. Shawnna,Stand Up
251,Jason Mraz,The Remedy (I won’t Worry)
252,Santana feat. Alex Band Or Chad Kroeger,Why Don’t You & I
253,Jay-Z,Excuse Me Miss
254,Jennifer Lopez feat. Styles and Jadakiss,Jenny from the Block
255,Michelle Branch,Are you Happy Now?
256,Shania Twain,Forever and for Always
257,Nas,I Can
259,Daniel Bedingfield,If you’re not the One
260,R. Kelly,Thoia Thoing
261,3 Doors Down,Here without You
262,50 Cent,Wanksta
263,Mya,My Love is Like… Wo
264,Alan Jackson and Jimmy Buffett,It’s Five O’Clock Somewhere
265,Sean Paul,Like Glue
266,Christina Aguilera feat. Lil’ Kim,Can’t Hold us Down
267,Lonestar,My Front Porch Looking In
268,Amanda Perez,Angel
269,Puddle Of Mudd,She Hates Me
270,Frankie J,Don’t Wanna Try
271,Lil’ Kim feat. Mr. Cheeks,The Jump Off
272,Jewel,Intuition
273,Ginuwine feat. Baby,Hell Yeah
274,Toby Keith Duet With Willie Nelson,Beer for my Horses
275,Chingy feat. Ludacris and Snoop Dogg,Holidae In
276,Baby Bash feat. Frankie J,Suga Suga
277,Erykah Badu feat. Common,Love of my Life (An Ode to Hip Hop)
278,Christina Aguilera,Fighter
279,2Pac,Thugz Mansion
280,Coldplay,Clocks
281,Jaheim,Put that Woman First
282,Ashanti,Rain on Me
283,Mark Wills,19 Somethin’
284,Young Gunz,"Can’t Stop, Won’t Stop"
285,Brooks and Dunn,Red Dirt Road
286,Dierks Bentley,What was I Thinkin’
287,Ruben Studdard,Flying without Wings
288,Eminem,Sing for the Moment
289,Darryl Worley,Have you Forgotten?
290,Kenny Chesney,"No Shoes, No Shirt, No Problems"
291,Aaliyah,Come Over
292,Field Mob,Sick of Being Lonely
293,R. Kelly,Step in the Name of Love
294,Thalia feat. Fat Joe,I Want You
295,Audioslave,Like a Stone
296,Norah Jones,Don’t know Why
297,Eminem,Superman
298,Tim McGraw,Real Good Man
299,Floetry,Say Yes
300,Usher feat. Lil Jon and Ludacris,Yeah!
301,Usher,Burn
302,Alicia Keys,If I Ain’t Got You
303,Maroon5,This Love
304,OutKast feat. Sleepy Brown,The Way You Move
305,Hoobastank,The Reason
306,Mario Winans feat. Enya and P. Diddy,I Don’t Wanna Know
307,OutKast,Hey Ya!
308,Ciara feat. Petey Pablo,Goodies
309,Terror Squad,Lean Back
310,J-Kwon,Tipsy
311,Usher,Confessions Part II
312,Juvenile feat. Soulja Slim,Slow Motion
313,Petey Pablo,Freek-a-Leek
314,3 Doors Down,Here Without You
315,Twista feat. Kanye West and Jamie Foxx,Slow Jamz
316,Nickelback,Someday
317,Beyonce,Naughty Girl
318,Evanescence,My Immortal
319,Lil’ Flip feat. Lea,Sunshine
320,Jay-Z,Dirt Off Your Shoulder
321,Nina Sky feat. Jabba,Move Ya Body
322,Christina Milian,Dip It Low
323,Usher And Alicia Keys,My Boo
324,Chingy feat. J. Weav,One Call Away
325,Beyonce,"Me, Myself, and I"
326,Kevin Lyttle feat. Spragga Benz,Turn Me On
327,Sheryl Crow,The First Cut Is The Deepest
328,Alicia Keys,You Don’t Know My Name
329,Nelly feat. Jaheim,My Place
330,Twista,Overnight Celebrity
331,Cassidy feat. R. Kelly,Hotel
332,Linkin Park,Numb
333,Alicia Keys feat. Tony! Toni! Tone!,Diary
334,Maroon 5,She Will be Loved
335,Dido,White Flag
336,Los Lonely Boys,Heaven
337,No Doubt,It’s My Life
338,Ashlee Simpson,Pieces of Me
339,JoJo,Leave (Get Out)
340,Kelis,Milkshake
341,Ludacris,Splash Waterfalls
342,Kanye West,Jesus Walks
343,Akon feat. Styles P.,Locked Up
346,Kanye West feat. Syleena Johnson,All Falls Down
347,Britney Spears,Toxic
348,Ying Yang Twins feat. Lil Jon and The East Side Boyz,Salt Shaker
349,Jessica Simpson,With You
350,Switchfoot,Meant to Live
351,"Houston feat. Chingy, Nate Dogg and I-20",I Like That
352,Ruben Studdard,Sorry 2004
353,Avril Lavigne,My Happy Ending
354,Lloyd Banks,On Fire
355,OutKast,Roses
356,Jagged Edge,Walker outta Heaven
357,Destiny’s Child,Lose My Breath
358,D12,My Band
359,Sean Paul feat. Sasha,I’m Still in Love with You
360,Kanye West,Through the Wire
361,Jadakiss feat. Anthony Hamilton,Why?
362,Eamon,F**k It (I Don’t Want you Back)
363,Avant,Read your Mind
364,Lil’ Flip,Game Over (Flip)
365,Finger Eleven,One Thing
366,LL Cool J,Headsprung
368,Beyonce feat. Sean Paul,Baby Boy
370,Snoop Dogg feat. Pharrell,Drop it Like it’s Hot
371,Monica,U Should’ve Known Better
372,Ryan Cabrera,On the Way Down
373,Kelly Clarkson,Breakaway
374,Santana feat. Alex Band Or Chad Kroeger,Why Don’t you & I
375,Jet,Are You Gonna Be My Girl
376,Five For Fighting,100 Years
377,R. Kelly,Step In The Name Of Love
378,Linkin Park,Breaking the Habit
379,Nick Cannon feat. R. Kelly,Gigolo
380,Tim McGraw,Live Like You Were Dying
381,Alan Jackson,Remember When
382,Britney Spears,Everytime
383,Lloyd feat. Ashanti,Southside
384,Beenie Man feat. Ms. Thing,Dude
385,G-Unit feat. Joe,Wanna Get To Know You
387,Black Eyed Peas,Let’s Get It Started
388,Kenny Chesney and Uncle Kracker,When the Sun Goes Down
389,Toby Keith,American Soldier
390,Jay-Z,Change Clothes
391,Avril Lavigne,Don’t Tell Me
392,Keith Urban,You’ll Think of Me
393,R. Kelly,Happy People
394,Black Eyed Peas,Hey Mama
395,Nelly feat. Tim McGraw,Over and Over
396,Gretchen Wilson,Redneck Woman
397,Eminem,Just Lose It
398,John Michael Montgomery,Letters from Home
399,Kenny Chesney,I Go Back
400,Mariah Carey,We Belong Together
401,Gwen Stefani,Hollaback Girl
402,Mario,Let Me Love You
403,Kelly Clarkson,Since U Been Gone
404,Ciara feat. Missy Elliott,"1, 2 Step"
405,Kanye West feat. Jamie Foxx,Gold Digger
406,Green Day,Boulevard of Broken Dreams
407,50 Cent feat. Olivia,Candy Shop
408,The Pussycat Dolls feat. Busta Rhymes,Don’t Cha
409,Kelly Clarkson,Behind These Hazel Eyes
410,50 Cent,Disco Inferno
411,Lifehouse,You and Me
412,The Black Eyed Peas,Don’t Phunk With My Heart
413,Missy Elliott feat. Ciara and Fat Man Scoop,Lose Control
414,Mariah Carey,Shake it Off
415,The Killers,Mr. Brightside
416,50 Cent,Just a Lil Bit
417,Rihanna,Pon de Replay
418,The Game feat. 50 Cent,How We Do
419,Weezer,Beverly Hills
420,Ciara feat. Ludacris,Oh
421,Rob Thomas,Lonely No More
422,Snoop Dogg feat. Pharrell,Drop it Like It’s Hot
423,The Game feat. 50 Cent,Hate It or Love It
424,Lil Jon and The East Side Boyz feat. Usher and Ludacris,Lovers and Friends
425,Destiny’s Child feat. T.I. and Lil Wayne,Soldier
427,Will Smith,Switch
428,Bow Wow feat. Omarion,Let Me HOld You
429,Bow Wow feat. Ciara,Like You
430,Gwen Stefani feat. Eve,Rich Girl
431,The Black Eyed Peas,My Humps
432,Frankie J feat. Baby Bash,Obsession (No Es Amor)
433,Usher,Caught Up
434,D.H.T.,Listen to your Heart
435,Papa Roach,Scars
436,Gorillaz,Feel Good Inc
437,3 Doors Down,Let Me Go
438,Green Day,Holiday
439,Fall Out Boy,"Sugar, we’re Goin’ Down"
440,Pretty Ricky,Grind With Me
441,Chris Brown,Run It!
442,Nickelback,Photograph
443,Akon,Lonely
444,Howie Day,Collide
445,Green Day,Wake Me up When September Ends
446,Bobby Valentino,Slow Down
448,Trillville feat. Cutty,Some Cut
449,Fat Joe feat. Nelly,Get it Poppin’
450,David Banner,Play
451,Young Jeezy feat. Akon,Soul Survivor
452,Ludacris feat. Bobby Valentino,Pimpin’ All Over the World
454,"Trick Daddy feat. Ludacris, Lil’ Kim and Cee-Lo",Sugar (Gimme Some)
455,Alicia Keys,Karma
456,Coldplay,Speed of Sound
457,Gavin DeGraw,I Don’t Want to Be
458,Eminem,Mockingbird
459,Shakira feat. Alejandro Sanz,La Tortura
460,Maroon5,She Will be Loved
461,Baby Bash feat. Akon,Baby I’m Back
462,Ying Yang Twins,Wait (The Whisper Song)
463,Backstreet Boys,Incomplete
464,T.I.,Bring em Out
465,Destiny’s Child,Cater 2 U
466,Amerie,1 Thing
467,Foo Fighters,Best of You
468,Mariah Carey,It’s Like That
469,Natalie,Goin’ Crazy
470,Carrie Underwood,Inside your Heaven
471,Kelly Clarkson,Because of You
472,Fantasia,Truth Is
473,Pretty Ricky,Your Body
474,Jesse McCartney,Beautiful Soul
475,Gwen Stefani,Cool
476,Ludacris,Get Back
477,50 Cent feat. Mobb Deep,Outta Control (Remix)
478,T.I.,U Don’t Know Me
479,Natasha Bedingfield,These Words
480,The Black Eyed Peas,Don’t Lie
481,Jennifer Lopez,Get Right
482,John Mayer,Daughters
483,Toby Keith,As Good as I Once Was
484,Brooke Valentine feat. Lil Jon and Big Boi,Girlfight
486,John Legend,Ordinary People
487,Sean Paul,We Be Burnin’
488,The Click Five,Just the Girl
489,Ryan Cabrera,TRUE
490,Omarion,O
491,Mike Jones,Back Then
492,Jay-Z/Linkin Park,Numb/Encore
493,Ja Rule feat. R. Kelly and Ashanti,Wonderful
494,T-Pain,I’m Sprung
495,Gavin DeGraw,Chariot
496,112 feat. Foxy Brown,U Already Know
497,Faith Hill,Mississippi Girl
498,Ludacris,Number One Spot
499,Webbie feat. Bun B,Give Me That
500,Daniel Powter,Bad Day
501,Sean Paul,Temperature
502,Nelly Furtado feat. Timbaland,Promiscuous
503,James Blunt,You’re Beautiful
504,Shakira feat. Wyclef Jean,Hips Don’t Lie
505,Natasha Bedingfield,Unwritten
506,Gnarls Barkley,Crazy
507,Chamillionaire feat. Krayzie Bone,Ridin’
508,Justin Timberlake,Sexyback
509,Beyonce feat. Slim Thug,Check on It
510,Mary J. Blige,Be without You
511,"Nelly feat. Paul Wall, Ali and Gipp",Grillz
512,The Fray,Over My Head (Cable Car)
513,Cassie,Me & U
514,The Pussycat Dolls feat. Snoop Dogg,Buttons
515,Chris Brown,Run It!
516,Ne-Yo,So Sick
517,Yung Joc,It’s Goin’ Down
518,Rihanna,SOS
519,Panic! At The Disco,I Write Sins not Tragedies
520,The All-American Rejects,Move Along
521,Fergie,London Bridge
522,Red Hot Chili Peppers,Dani California
523,Lil Jon feat. E-40 and Sean Paul Of The YoungBloodZ,Snap Yo Fingers
524,Dem Franchize Boyz feat. Lil Peanut and Charlay,"Lean Wit It, Rock Wit It"
525,Rascal Flatts,What Hurts the Most
526,The Fray,How to Save a Life
527,Rihanna,Unfaithful
528,Snow Patrol,Chasing Cars
529,Hinder,Lips of an Angel
530,Cascada,Everytime We Touch
531,Christina Aguilera,Ain’t no Other Man
532,Fall Out Boy,"Dance, Dance"
534,Ludacris feat. Pharrell,Money Maker
535,Bubba Sparxxx feat. Ying Yang Twins and Mr. ColliPark,Ms. New Booty
536,Sean Paul feat. Keyshia Cole,(When You Gonna) Give It Up To Me
539,The Pussycat Dolls,Stickwitu
540,T-Pain feat. Mike Jones,I’n N Luv (Wit a Stripper)
542,Fort Minor feat. Holly Brook,Where’d You Go
543,Chris Brown,Yo (Excuse Me Miss)
544,Kelly Clarkson,Walk Away
545,D4L,Laffy Taffy
546,T.I.,What you Know
547,The All-American Rejects,Dirty Little Secret
548,Nickelback,Savin’ Me
549,Mariah Carey,Don’t Forget About Us
550,Ne-Yo,Sexy Love
551,E-40 feat. T-Pain and Kandi Girl,U and Dat
552,Nickelback,Far Away
553,Nick Lachey,What’s Left of Me
554,Field Mob feat. Ciara,So What
555,Cherish feat. Sean Paul Of The YoungBloodZ,Do it to It
556,KT Tunstall,Black Horse & the Cherry Tree
557,Juelz Santana,There it Go! (The Whistle Song)
558,Young Dro feat. T.I.,Shoulder Lean!
559,Jamie Foxx feat. Ludacris,Unpredictable
560,Justin Timberlake feat. T.I.,My Love
561,Eminem feat. Nate Dogg,Shake That
562,Chingy feat. Tyrese,Pullin’ Me Back
563,Kelis feat. Too $hort,Bossy
564,Jibbs,Chain Hang Low
565,Akon feat. Eminem,Smack That
566,Ray J,One Wish
567,Fall Out Boy,Sugar We’re Goin’ Down
568,Chris Brown feat. Lil’ Wayne,Gimme That
569,Yung Joc feat. Brandy ‘Ms. B.’ Hambrick,I Know You See It
570,Bon Jovi,Who Says you can’t Go Home
571,JoJo,Too Little Too Late
572,Busta Rhymes,Touch It
573,Daddy Yankee,Rompe
574,Beyonce feat. Jay-Z,Deja Vu
575,Rascal Flatts,Life is a Highway
576,Evanescence,Call me When You’re Sober
577,Carrie Underwood,"Jesus, take the Wheel"
578,Danity Kane,Show Stopper
579,Ciara feat. Chamillionaire,Get Up
580,Sean Paul,We be Burnin’
581,Blue October,Hate Me
583,The Pussycat Dolls feat. will.i.am,Beep
584,"Dem Franchize Boyz feat. Jermaine Dupri, Da Brat and Bow Wow",I Think They Like Me
585,Chris Brown,Say Goodbye
586,John Mayer,Waiting on the World to Change
588,The Black Eyed Peas,Pump It
589,Eminem,When I’m Gone
590,Madonna,Hung Up
591,Three 6 Mafia feat. Young Buck and Eightball and MJG,Stay Fly
592,Keyshia Cole,Love
593,Ne-Yo,When You’re Mad
594,T.I.,Why You Wanna
595,P!nk,Stupid Girls
598,Taylor Hicks,Do I Make you Proud
599,Teddy Geiger,For You I Will (Condience)
600,Beyonce,Irreplaceable
601,Rihanna feat. Jay-Z,Umbrella
602,Gwen Stefani feat. Akon,The Sweet Escape
603,Fergie,Big Girls Don’t Cry
604,T-Pain feat. Yung Joc,Buy U A Drank (Shawty Snappin’)
605,Carrie Underwood,Before He Cheats
606,Plain White T’s,Hey There Delilah
607,Akon feat. Snoop Dogg,I Wanna Love You
608,Nelly Furtado,Say It Right
609,Fergie feat. Ludacris,Glamorous
610,Akon,Don’t Matter
611,Avril Lavigne,Girlfriend
612,Maroon 5,Makes Me Wonder
613,Shop Boyz,Party Like A Rockstar
615,Mims,This Is Why I’m Hot
616,Daughtry,It’s Not Over
617,Timbaland feat. Keri Hilson,The Way I Are
618,Fergie,Fergalicious
619,Soulja Boy Tell’em,Crank That (Soulja Boy)
620,Timbaland feat. Nelly Furtado & Justin Timberlake,Give It To Me
621,Justin Timberlake,What Goes Around…Comes Around
622,Gym Class Heroes feat. Patrick Stump,Cupid’s Chokehold/Breakfast In America
623,The Fray,How To Save A Life
624,Daughtry,Home
626,Kanye West,Stronger
627,Jim Jones,We Fly High
628,P!nk,U + Ur Hand
629,Unk,Walk It Out
630,Sean Kingston,Beautiful Girls
631,Fall Out Boy,"This Ain’t A Scene, It’s An Arms Race"
632,T-Pain feat. Akon,Bartender
633,Huey,"Pop, Lock & Drop It"
634,Ludacris feat. Mary J. Blige,Runaway Love
635,Nickelback,Rockstar
636,Fall Out Boy,Thnks Fr Th Mmrs
637,Linkin Park,What I’ve Done
638,Justin Timberlake,Summer Love
639,Lloyd feat. Lil’ Wayne,You
640,Elliott Yamin,Wait For You
641,Diddy feat. Keyshia Cole,Last Night
642,Fat Joe feat. Lil Wayne,Make It Rain
643,Fabolous feat. Ne-Yo,Make Me Better
644,Omarion,Ice Box
645,Hinder,Lips Of An Angel
646,John Mayer,Waiting On The World To Change
647,Robin Thicke,Lost Without U
648,R. Kelly Or Bow Wow (feat. T.I. & T-Pain),I’m A Flirt
649,Nickelback,If Everyone Cared
650,Lloyd,Get It Shawty
651,The Red Jumpsuit Apparatus,Face Down
652,Baby Boy Da Prince feat. Lil Boosie,The Way I Live
653,Bow Wow feat. Chris Brown & Johnta Austin,Shortie Like Mine
654,The All-American Rejects,It Ends Tonight
655,Hurricane Chris,A Bay Bay
656,Ne-Yo,Because Of You
657,Bone Thugs-N-Harmony feat. Akon,I Tried
658,My Chemical Romance,Welcome To The Black Parade
659,Plies feat. T-Pain,Shawty
661,Beyonce & Shakira,Beautiful Liar
663,Avril Lavigne,Keep Holding On
664,Keyshia Cole feat. Missy Elliott & Lil Kim,Let It Go
665,Timbaland feat. OneRepublic,Apologize
666,Colbie Caillat,Bubbly
667,Ciara,Like A Boy
668,P!nk,Who Knew
669,Kelly Clarkson,Never Again
670,Ciara,Promise
671,J. Holiday,Bed
672,Rich Boy feat. Polow Da Don,Throw Some D’s
673,Amy Winehouse,Rehab
674,T.I.,Big Things Poppin’ (Do It)
675,Alicia Keys,No One
676,Boys Like Girls,The Great Escape
677,Unk,2 Step
678,Paula DeAnda feat. The DEY,Walk Away (Remember Me)
679,Young Jeezy feat. R. Kelly,Go Getta
680,Hellogoodbye,Here (In Your Arms)
681,Pretty Ricky,On The Hotline
682,Gwen Stefani,Wind It Up
683,Baby Bash feat. T-Pain,Cyclone
684,Rihanna & Sean Paul,Break It Off
685,Lifehouse,First Time
686,50 Cent feat. Justin Timberlake & Timbaland,Ayo Technology
687,Bow Wow feat. T-Pain & Johnta Austin,Outta My System
688,Taylor Swift,Teardrops On My Guitar
689,Rihanna,Shut Up And Drive
690,Red Hot Chili Peppers,Snow (Hey Oh)
692,Chris Brown feat. T-Pain,Kiss Kiss
694,Crime Mob feat. Lil Scrappy,Rock Yo Hips
695,Justin Timberlake,Lovestoned
696,Hinder,Better Than Me
697,Finger Eleven,Paralyzer
698,Snoop Dogg feat. R. Kelly,That’s That
699,R. Kelly and Usher,Same Girl
700,Flo Rida feat. T-Pain,Low
701,Leona Lewis,Bleeding Love
703,Lil Wayne feat. Static Major,Lollipop
705,Jordin Sparks Duet With Chris Brown,No Air
706,Sara Bareilles,Love Song
707,Usher feat. Young Jeezy,Love In This Club
708,Chris Brown,With You
709,Chris Brown,Forever
710,Ray J and Yung Berg,Sexy Can I
711,Rihanna,Take A Bow
712,Coldplay,Viva La Vida
713,Katy Perry,I Kissed A Girl
714,T.I.,Whatever You Like
715,Rihanna,Disturbia
716,Rihanna,Don’t Stop the Music
